datum,testy_den,testy_celkem,prirustkovy_pocet_prvnich_testu,kumulativni_pocet_prvnich_testu
2020-01-27,20,20,,
2020-01-28,8,28,,
2020-01-29,5,33,,
2020-01-30,1,34,,
2020-01-31,3,37,,
2020-02-01,1,38,,
2020-02-02,5,43,,
2020-02-03,5,48,,
2020-02-04,5,53,,
2020-02-05,0,53,,
2020-02-06,3,56,,
2020-02-07,6,62,,
2020-02-08,0,62,,
2020-02-09,2,64,,
2020-02-10,8,72,,
2020-02-11,2,74,,
2020-02-12,1,75,,
2020-02-13,1,76,,
2020-02-14,0,76,,
2020-02-15,1,77,,
2020-02-16,1,78,,
2020-02-17,2,80,,
2020-02-18,0,80,,
2020-02-19,2,82,,
2020-02-20,0,82,,
2020-02-21,0,82,,
2020-02-22,1,83,,
2020-02-23,3,86,,
2020-02-24,12,98,,
2020-02-25,14,112,,
2020-02-26,23,135,,
2020-02-27,35,170,,
2020-02-28,23,193,,
2020-02-29,7,200,,
2020-03-01,11,211,,
2020-03-02,51,262,,
2020-03-03,78,340,,
2020-03-04,67,407,,
2020-03-05,76,483,,
2020-03-06,111,594,,
2020-03-07,193,787,,
2020-03-08,141,928,,
2020-03-09,265,1193,,
2020-03-10,165,1358,,
2020-03-11,458,1816,,
2020-03-12,537,2353,,
2020-03-13,845,3198,,
2020-03-14,986,4184,,
2020-03-15,1028,5212,,
2020-03-16,1319,6531,,
2020-03-17,1294,7825,,
2020-03-18,1756,9581,,
2020-03-19,2259,11840,,
2020-03-20,2121,13961,,
2020-03-21,1882,15843,,
2020-03-22,1801,17644,,
2020-03-23,2291,19935,,
2020-03-24,3062,22997,,
2020-03-25,4107,27104,,
2020-03-26,4633,31737,,
2020-03-27,5359,37096,,
2020-03-28,4224,41320,,
2020-03-29,2848,44168,,
2020-03-30,5159,49327,,
2020-03-31,6661,55988,,
2020-04-01,6102,62090,,
2020-04-02,6673,68763,,
2020-04-03,7398,76161,,
2020-04-04,5837,81998,,
2020-04-05,4812,86810,,
2020-04-06,6435,93245,,
2020-04-07,8173,101418,,
2020-04-08,8469,109887,,
2020-04-09,8180,118067,,
2020-04-10,5702,123769,,
2020-04-11,4891,128660,,
2020-04-12,3250,131910,,
2020-04-13,3215,135125,,
2020-04-14,6173,141298,,
2020-04-15,8476,149774,,
2020-04-16,8381,158155,,
2020-04-17,8288,166443,,
2020-04-18,5605,172048,,
2020-04-19,4027,176075,,
2020-04-20,6567,182642,,
2020-04-21,8341,190983,,
2020-04-22,8818,199801,,
2020-04-23,7901,207702,,
2020-04-24,7129,214831,,
2020-04-25,4446,219277,,
2020-04-26,3381,222658,,
2020-04-27,7754,230412,,
2020-04-28,8741,239153,,
2020-04-29,7322,246475,,
2020-04-30,7396,253871,,
2020-05-01,4497,258368,,
2020-05-02,3885,262253,,
2020-05-03,3881,266134,,
2020-05-04,7756,273890,,
2020-05-05,9383,283273,,
2020-05-06,8052,291325,,
2020-05-07,7599,298924,,
2020-05-08,4510,303434,,
2020-05-09,3788,307222,,
2020-05-10,4052,311274,,
2020-05-11,7809,319083,,
2020-05-12,8755,327838,,
2020-05-13,7687,335525,,
2020-05-14,6902,342427,,
2020-05-15,6790,349217,,
2020-05-16,4197,353414,,
2020-05-17,3553,356967,,
2020-05-18,7458,364425,,
2020-05-19,8336,372761,,
2020-05-20,7518,380279,,
2020-05-21,7290,387569,,
2020-05-22,7748,395317,,
2020-05-23,5059,400376,,
2020-05-24,3849,404225,,
2020-05-25,7508,411733,,
2020-05-26,7241,418974,,
2020-05-27,6846,425820,,
2020-05-28,6013,431833,,
2020-05-29,6113,437946,,
2020-05-30,3548,441494,,
2020-05-31,2141,443635,,
2020-06-01,5721,449356,,
2020-06-02,6478,455834,,
2020-06-03,5313,461147,,
2020-06-04,5011,466158,,
2020-06-05,4173,470331,,
2020-06-06,2150,472481,,
2020-06-07,2127,474608,,
2020-06-08,4684,479292,,
2020-06-09,4552,483844,,
2020-06-10,4068,487912,,
2020-06-11,3739,491651,,
2020-06-12,3726,495377,,
2020-06-13,1652,497029,,
2020-06-14,1121,498150,,
2020-06-15,3673,501823,,
2020-06-16,4023,505846,,
2020-06-17,4036,509882,,
2020-06-18,4403,514285,,
2020-06-19,3574,517859,,
2020-06-20,1699,519558,,
2020-06-21,1313,520871,,
2020-06-22,3910,524781,,
2020-06-23,4567,529348,,
2020-06-24,4287,533635,,
2020-06-25,4047,537682,,
2020-06-26,4533,542215,,
2020-06-27,2554,544769,,
2020-06-28,2423,547192,,
2020-06-29,4485,551677,,
2020-06-30,4412,556089,,
2020-07-01,4593,560682,,
2020-07-02,4665,565347,,
2020-07-03,5109,570456,,
2020-07-04,1687,572143,,
2020-07-05,1524,573667,,
2020-07-06,1714,575381,,
2020-07-07,4159,579540,,
2020-07-08,5406,584946,,
2020-07-09,4682,589628,,
2020-07-10,5333,594961,,
2020-07-11,2321,597282,,
2020-07-12,1787,599069,,
2020-07-13,4424,603493,,
2020-07-14,4802,608295,,
2020-07-15,4694,612989,,
2020-07-16,4730,617719,,
2020-07-17,4727,622446,,
2020-07-18,2334,624780,,
2020-07-19,1830,626610,,
2020-07-20,5785,632395,,
2020-07-21,6089,638484,,
2020-07-22,6609,645093,,
2020-07-23,5557,650650,,
2020-07-24,6238,656888,,
2020-07-25,3337,660225,,
2020-07-26,1784,662009,,
2020-07-27,6552,668561,,
2020-07-28,7909,676470,,
2020-07-29,7509,683979,,
2020-07-30,7623,691602,,
2020-07-31,8206,699808,,
2020-08-01,4707,704515,3654,527871
2020-08-02,2647,707162,2063,529934
2020-08-03,7746,714908,5841,535775
2020-08-04,8413,723321,6651,542426
2020-08-05,6940,730261,5442,547868
2020-08-06,7350,737611,5768,553636
2020-08-07,9190,746801,7222,560858
